Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Modeling Time-varying Reliability and Resilience of Deteriorating Infrastructure","This paper proposes a novel formulation to model the effects of infrastructure deterioration on its time-varying ability to recover after disruptive events, with a focus on potable water infrastructure.","L. Iannacone, Neetesh Sharma, Armin Tabandeh, P. Gardoni",2022,125,"","","Reliab. Eng. Syst. Saf.","1","10.1016/j.ress.2021.108074","https://consensus.app/papers/modeling-timevarying-reliability-and-resilience-of-iannacone-sharma/a65d9b1adf315d41988d1a12707bc247/"
"Integrating climate change predictions into infrastructure degradation modelling using advanced markovian frameworks to enhanced resilience.","","Ali Shehadeh, Odey Alshboul, Mohammad F. Tamimi",2024,44,"","","Journal of environmental management","1","10.1016/j.jenvman.2024.122234","https://consensus.app/papers/integrating-climate-change-predictions-into-shehadeh-alshboul/a773b64524095e658e5a746bcb1979b5/"
"Toward a Big Data-Based Approach: A Review on Degradation Models for Prognosis of Critical Infrastructure","Big data-based approaches, including artificial intelligence and remote sensing, can enhance the reliability and safety management of critical infrastructure.","G. Prakash, Xian-Xun Yuan, B. Hazra, Daijiro Mizutani",2021,35,"
 Safety and reliability of large critical infrastructure such as long-span bridges, high-rise buildings, nuclear power plants, high-voltage transmission towers, rotating machinery, and so on, are important for a modern society. Research on reliability and safety analysis started with a “small data” problem dealing with relative scarce lifetime or failure data. Later, degradation modeling that uses performance deterioration, or, condition data collected from in-service inspections or online health monitoring became an important tool for reliability prediction and maintenance planning of highly reliable engineering systems. Over the past decades, a large number of degradation models have been developed to characterize and quantify the underlying degradation mechanism using direct and indirect measurements. Recent advancements in artificial intelligence, remote sensing, big data analytics, and Internet of things are making far-reaching impacts on almost every aspect of our lives. The effect of these changes on the degradation modeling, prognosis, and safety management is interesting questions to explore. This paper presents a comprehensive, forward-looking review of the various degradation models and their practical applications to damage prognosis and management of critical infrastructure. The degradation models are classified into four categories: physics-based, knowledge-based, data-driven, and hybrid approaches.","","","","10.1115/1.4048787","https://consensus.app/papers/toward-a-big-databased-approach-a-review-on-degradation-prakash-yuan/96a1c1a5c0855183b135aacef710ccb6/"
"Degradation Models and Maintenance Strategies for Reinforced Concrete Structures in Coastal Environments under Climate Change: A Review","Degradation models and monitoring data can help maintain coastal structures, addressing corrosion and climate change challenges.","Luis F. Rincon, Y.F.M. Moscoso, A. Hamami, José C. Matos, E. Bastidas-Arteaga",2024,28,"Modern engineering faces challenges in ensuring technical standards for service, durability, and sustainability. Political, administrative, and budgetary factors, coupled with climate change, pose tasks to structural integrity, affecting industries and economies. Marine infrastructures represent a strategic asset of a country as they handle a large part of the economic exchanges. This article analyzes five essential factors that play a fundamental role in the performance analysis of coastal structures: chloride-induced corrosion, degradation models, maintenance strategies, monitoring, and climate change. We start with reinforcement corrosion, which is considered as the main cause of distress, particularly in coastal zones, for the long-term behavior of structures. Additional pressure from the influences of climate change is becoming evident and extreme, leading to a reduction in capacity. To guarantee the lifespan of infrastructures, degradation models contribute by estimating the long-term performance of the asset as a strategic piece to the development of effective maintenance solutions. Artificial Neural Networks (ANNs) have gained recent prominence in this field due to their ability to learn intricate patterns from historical data, making them valuable instruments for predicting structural deterioration. Additionally, quantifying the condition of the structure from monitoring data plays a crucial part in providing information on the current situation of the structure. Finally, this review summarizes the challenges associated with the maintenance of aging marine structures considering aspects such as corrosion, monitoring, and the future challenges this area will face due to climate change.","","Buildings","1","10.3390/buildings14030562","https://consensus.app/papers/degradation-models-and-maintenance-strategies-for-rincon-moscoso/a56745ca06075b16a2470796be4d8dd2/"
"Bias-aware degradation models for reinforced concrete bridges based on XAI","This study develops a composite analysis using explainable artificial intelligence techniques to analyze bridge condition data and develop bias-aware degradation models, revealing survivorship bias in damage evolution.","Francesca Marsili, Filippo Landi, Rade Hajdin, Sylvia Kessler",2025,4,"","","Developments in the Built Environment","1","10.1016/j.dibe.2025.100617","https://consensus.app/papers/biasaware-degradation-models-for-reinforced-concrete-marsili-landi/d8624f4ece6c565383f3bf4b9644384e/"
"From Tea Leaves to System Maps: A Survey and Framework on Context-Aware Machine Learning Monitoring","Context-aware machine learning monitoring focuses on incorporating system-level information, turning statistical anomalies into actionable alerts and structured root-cause analysis.","J. Leest, C. Raibulet, Patricia Lago, Ilias Gerostathopoulos",2025,2,"Machine learning (ML) models in production fail when their broader systems – from data pipelines to deployment environments – deviate from training assumptions, not merely due to statistical anomalies in input data. Despite extensive work on data drift, data validation, and out-of-distribution detection, ML monitoring research remains largely model-centric while neglecting contextual information: auxiliary signals about the system around the model (external factors, data pipelines, downstream applications). Incorporating this context turns statistical anomalies into actionable alerts and structured root-cause analysis. Drawing on a systematic review of 94 primary studies, we identify three dimensions of contextual information for ML monitoring: the system element concerned (natural environment or technical infrastructure); the aspect of that element (runtime states, structural relationships, prescriptive properties); and the representation used (formal constructs or informal formats). This forms the Contextual System-Aspect-Representation (C-SAR) framework, a descriptive model synthesizing our findings. We identify 20 recurring triplets across these dimensions and map them to the monitoring activities they support. This study provides a holistic perspective on ML monitoring: from interpreting “tea leaves” (i.e., isolated data and performance statistics) to constructing and managing “system maps” (i.e., end-to-end views that connect data, models, and operating context).","systematic review","IEEE Transactions on Software Engineering","1","10.1109/tse.2025.3602520","https://consensus.app/papers/from-tea-leaves-to-system-maps-a-survey-and-framework-on-leest-raibulet/0803dc34a8225cd0be057c6541214a00/"
"Scalable probabilistic deterioration model based on visual inspections and structural attributes from large networks of bridges","This paper proposes a scalable probabilistic approach for modeling bridge deterioration using visual inspections and structural attributes, reducing computational complexity and incorporating large numbers of structural attributes.","Said Ali Kamal Fakhri, Zachary Hamida, James-A. Goulet",2025,2,"","","Adv. Eng. Informatics","1","10.1016/j.aei.2024.103035","https://consensus.app/papers/scalable-probabilistic-deterioration-model-based-on-fakhri-hamida/04ac6d9095815824b2a819e5fc3b9d0e/"
"Track Deterioration Model—State of the Art and Research Potentials","Track deterioration models effectively allocate maintenance work and impact rolling stock properties on infrastructure, but require enhancements for accurate and detailed predictions.","Ursula Ehrhart, Dieter Knabl, Stefan Marschnig",2024,4,"Track deterioration models (TDMs) help to allocate maintenance work (direct costs) to vehicle runs. Furthermore, these models demonstrate the impact of rolling stock properties on infrastructure. This paper review provides an overview of the state of the art in railway track deterioration modelling and outlines the research potential in this domain. The main focus lies on ballast degradation, rail surface wear and fatigue, and their description in an empiric analytic wear formula. The basis for discussion is the wear formula of the Graz University of Technology. While the TDM demonstrates effectiveness, enhancements are sought, particularly with regard to adjusting the track parameters that vary across railway networks. Further exploration aims to refine the description of rail surface wear and rolling contact fatigue (RCF), incorporating factors such as traction energy and short-wave effects and adapting mathematical functions such as the t-Gamma function. This review underscores the need for ongoing research to develop TDMs that are both simple and detailed enough to encourage track-friendly rolling stock design.","literature review","Infrastructures","2","10.3390/infrastructures9050086","https://consensus.app/papers/track-deterioration-model%E2%80%94state-of-the-art-and-research-ehrhart-knabl/6c73b3095e13598b9a2ae61b1c08b3ee/"
"How Degrading Network Conditions Influence Machine Learning End Systems Performance?","Network stability is crucial for machine learning accuracy, with speech transcription models being more affected by data quality degradation than image classifiers.","Sergei Chuprov, Leon Reznik, Antoun Obeid, Srujan Shetty",2022,10,"As intelligent knowledge-based decision makers, Machine Learning (ML) end applications highly depend on input data quality. Systems that integrate ML-end applications use computer networks for data delivery from the data source to ML processors. Packet losses and lack of resources are the factors that may result in a quality degradation of data transmitted over computer networks, and consequently negatively impact the accuracy of ML applications. In this paper, we investigate the relation between network quality of service (QoS) degradation and ML-end decision making performance based on the data transmitted over various network conditions. For realistic testing, we implement an empirical study, in which we leverage the POWDER platform that provides real-world wireless 5G network testbed. In our experiments, we transfer media-files between the nodes of this real network under various QoS conditions. We investigate the effect of degraded data quality due to those network disruptions on ML-based systems used in different domains. Specifically, we investigate the accuracy of different image classification and speech transcription models in scenarios with higher packet loss in the communication channel and resource shortage on the receiving end. Our results show that network conditions stability is critical to avoid ML misclassifications, and that data quality degradation affects speech transcription model performance to a higher degree compared to considered image classifiers.","","IEEE INFOCOM 2022 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)","","10.1109/infocomwkshps54753.2022.9798388","https://consensus.app/papers/how-degrading-network-conditions-influence-machine-chuprov-reznik/5109a44398675f428756b65ea8ea0f18/"
"Reasoning AI Performance Degradation in 6G Networks with Large Language Models","Large Language Models (LLMs) can effectively reason about AI performance degradation in 6G networks, enhancing reliability and efficiency in AI-native network infrastructures.","Liming Huang, Yulei Wu, Dimitra Simeonidou",2024,4,"The integration of Artificial Intelligence (AI) within 6G networks is poised to revolutionize connectivity, reliability, and intelligent decision-making. However, the performance of AI models in these networks is crucial, as any decline can significantly impact network efficiency and the services it supports. Understanding the root causes of performance degradation is essential for maintaining optimal network functionality. In this paper, we propose a novel approach to reason about AI model performance degradation in 6G networks using the Large Language Models (LLMs) empowered Chain-of-Thought (CoT) method. Our approach employs an LLM as a “teacher” model through zero-shot prompting to generate teaching CoT rationales, followed by a CoT “student” model that is fine-tuned by the generated teaching data for learning to reason about performance declines. The efficacy of this model is evaluated in a real-world scenario involving a real-time 3D rendering task with multi-Access Technologies (mATs) including WiFi, 5G, and LiFi for data transmission. Experimental results show that our approach achieves over 97 % reasoning accuracy on the built test questions, confirming the validity of our collected dataset and the effectiveness of the LLM-CoT method. Our findings highlight the potential of LLMs in enhancing the reliability and efficiency of 6G networks, representing a significant advancement in the evolution of AI-native network infrastructures.","","2025 IEEE Wireless Communications and Networking Conference (WCNC)","","10.1109/wcnc61545.2025.10978540","https://consensus.app/papers/reasoning-ai-performance-degradation-in-6g-networks-with-huang-wu/e65954f5a3705ab4a4b69e1b54da371c/"
